Invoice ID,Created At,Total,Status,Paid At,Quote ID
SI-4001,2026-01-04T10:10:00.000Z,120.00,paid,2026-01-04T10:10:00.000Z,SQ-3001
SI-4002,2026-01-04T14:20:00.000Z,85.00,paid,2026-01-05T11:00:00.000Z,SQ-3002
SI-4003,2026-01-05T09:05:00.000Z,260.00,paid,2026-01-06T16:00:00.000Z,SQ-3003
SI-4004,2026-01-05T16:40:00.000Z,310.00,sent,,SQ-3004
SI-4005,2026-01-06T11:10:00.000Z,190.00,paid,2026-01-08T12:00:00.000Z,SQ-3005
SI-4006,2026-01-06T15:20:00.000Z,420.00,overdue,,SQ-3006
SI-4007,2026-01-07T10:35:00.000Z,235.00,void,,SQ-3007
SI-4008,2026-01-07T14:10:00.000Z,560.00,sent,,SQ-3008
SI-4009,2026-01-08T09:25:00.000Z,145.00,paid,2026-01-08T17:00:00.000Z,SQ-3009
SI-4010,2026-01-09T11:22:00.000Z,690.00,paid,2026-01-20T12:00:00.000Z,SQ-3010
SI-4011,2026-01-10T10:05:00.000Z,75.00,paid,2026-01-10T10:05:00.000Z,SQ-3011
SI-4012,2026-01-10T15:40:00.000Z,330.00,sent,,SQ-3012
SI-4013,2026-01-11T09:10:00.000Z,215.00,void,,SQ-3013
SI-4014,2026-01-11T16:05:00.000Z,520.00,overdue,,SQ-3014
SI-4015,2026-01-12T11:15:00.000Z,140.00,paid,2026-01-14T12:00:00.000Z,SQ-3015
SI-4016,2026-01-12T15:55:00.000Z,410.00,sent,,SQ-3016
SI-4017,2026-01-13T10:30:00.000Z,295.00,paid,2026-01-25T09:00:00.000Z,SQ-3017
SI-4018,2026-01-13T16:18:00.000Z,610.00,sent,,SQ-3018
SI-4019,2026-01-14T09:40:00.000Z,165.00,paid,2026-01-16T11:00:00.000Z,SQ-3019
SI-4020,2026-01-14T14:35:00.000Z,720.00,overdue,,SQ-3020
SI-4021,2026-01-15T09:15:00.000Z,95.00,paid,2026-01-15T17:00:00.000Z,SQ-3021
SI-4022,2026-01-15T15:50:00.000Z,360.00,sent,,SQ-3022
SI-4023,2026-01-16T11:05:00.000Z,225.00,paid,2026-01-17T12:00:00.000Z,SQ-3023
SI-4024,2026-01-23T10:10:00.000Z,480.00,paid,2026-02-10T12:00:00.000Z,SQ-3024
SI-4025,2026-01-17T09:55:00.000Z,130.00,paid,2026-01-18T10:00:00.000Z,SQ-3025
SI-4026,2026-01-17T16:35:00.000Z,540.00,sent,,SQ-3026
SI-4027,2026-01-18T10:18:00.000Z,710.00,overdue,,SQ-3027
SI-4028,2026-01-18T14:45:00.000Z,980.00,sent,,SQ-3028
SI-4029,2026-01-19T11:25:00.000Z,160.00,paid,2026-01-26T09:00:00.000Z,SQ-3029
SI-4030,2026-01-19T16:50:00.000Z,620.00,sent,,SQ-3030
SI-4031,2026-01-20T10:05:00.000Z,240.00,sent,,SQ-3031
SI-4032,2026-01-20T15:10:00.000Z,350.00,void,,SQ-3032
SI-4033,2026-01-21T09:42:00.000Z,510.00,overdue,,SQ-3033
SI-4034,2026-01-21T14:30:00.000Z,690.00,sent,,SQ-3034

