Quote ID,Created At,Total,Status,Approved At
SQ-3001,2026-01-03T09:05:00.000Z,120.00,sent,
SQ-3002,2026-01-03T11:40:00.000Z,85.00,sent,
SQ-3003,2026-01-04T10:15:00.000Z,260.00,approved,2026-01-04T16:00:00.000Z
SQ-3004,2026-01-04T14:30:00.000Z,310.00,sent,
SQ-3005,2026-01-05T09:22:00.000Z,190.00,sent,
SQ-3006,2026-01-05T15:10:00.000Z,420.00,sent,
SQ-3007,2026-01-06T08:55:00.000Z,235.00,draft,
SQ-3008,2026-01-06T13:05:00.000Z,560.00,sent,
SQ-3009,2026-01-07T10:40:00.000Z,145.00,sent,
SQ-3010,2026-01-07T16:18:00.000Z,690.00,approved,2026-01-09T11:00:00.000Z
SQ-3011,2026-01-08T09:12:00.000Z,75.00,sent,
SQ-3012,2026-01-08T14:50:00.000Z,330.00,sent,
SQ-3013,2026-01-09T10:08:00.000Z,215.00,rejected,
SQ-3014,2026-01-09T15:33:00.000Z,520.00,sent,
SQ-3015,2026-01-10T08:27:00.000Z,140.00,sent,
SQ-3016,2026-01-10T13:45:00.000Z,410.00,sent,
SQ-3017,2026-01-11T09:40:00.000Z,295.00,approved,2026-01-13T10:00:00.000Z
SQ-3018,2026-01-11T15:05:00.000Z,610.00,sent,
SQ-3019,2026-01-12T10:22:00.000Z,165.00,sent,
SQ-3020,2026-01-12T16:11:00.000Z,720.00,sent,
SQ-3021,2026-01-13T09:30:00.000Z,95.00,draft,
SQ-3022,2026-01-13T14:55:00.000Z,360.00,sent,
SQ-3023,2026-01-14T11:12:00.000Z,225.00,sent,
SQ-3024,2026-01-14T17:20:00.000Z,480.00,approved,2026-01-22T12:00:00.000Z
SQ-3025,2026-01-15T10:05:00.000Z,130.00,sent,
SQ-3026,2026-01-15T15:44:00.000Z,540.00,sent,
SQ-3027,2026-01-16T09:18:00.000Z,710.00,sent,
SQ-3028,2026-01-16T13:52:00.000Z,980.00,sent,
SQ-3029,2026-01-17T10:37:00.000Z,160.00,sent,
SQ-3030,2026-01-17T16:09:00.000Z,620.00,sent,
SQ-3031,2026-01-18T09:41:00.000Z,240.00,sent,
SQ-3032,2026-01-18T15:30:00.000Z,350.00,rejected,
SQ-3033,2026-01-19T11:05:00.000Z,510.00,sent,
SQ-3034,2026-01-19T16:22:00.000Z,690.00,sent,

