Invoice ID,Created At,Total,Status,Paid At,Quote ID
I-2001,2026-01-03T10:05:00.000Z,185.00,paid,2026-01-03T15:10:00.000Z,Q-1001
I-2002,2026-01-04T09:12:00.000Z,325.00,paid,2026-01-08T10:00:00.000Z,Q-1002
I-2003,2026-01-05T13:30:00.000Z,610.00,sent,,Q-1003
I-2004,2026-01-06T11:18:00.000Z,820.00,paid,2026-01-20T16:00:00.000Z,Q-1005
I-2005,2026-01-06T15:22:00.000Z,1450.00,overdue,,Q-1006
I-2006,2026-01-07T09:40:00.000Z,240.00,void,,Q-1007
I-2007,2026-01-08T10:50:00.000Z,2600.00,paid,2026-01-09T14:00:00.000Z,Q-1008
I-2008,2026-01-08T16:12:00.000Z,480.00,sent,,Q-1009
I-2009,2026-01-09T09:05:00.000Z,95.00,paid,2026-01-09T12:15:00.000Z,Q-1010
I-2010,2026-01-10T10:25:00.000Z,7200.00,paid,2026-01-10T10:25:00.000Z,Q-1011
I-2011,2026-01-11T11:14:00.000Z,510.00,paid,2026-01-18T09:00:00.000Z,Q-1012
I-2012,2026-01-12T08:48:00.000Z,980.00,sent,,Q-1013
I-2013,2026-01-12T15:02:00.000Z,670.00,overdue,,Q-1015
I-2014,2026-01-13T10:10:00.000Z,1250.00,paid,2026-01-22T16:30:00.000Z,Q-1016
I-2015,2026-01-13T14:55:00.000Z,440.00,sent,,Q-1017
I-2016,2026-01-14T09:20:00.000Z,3150.00,paid,2026-02-05T11:00:00.000Z,Q-1018
I-2017,2026-01-14T16:40:00.000Z,2300.00,sent,,Q-1020
I-2018,2026-01-15T08:05:00.000Z,150.00,paid,2026-01-15T17:00:00.000Z,Q-1021
I-2019,2026-01-16T10:35:00.000Z,760.00,paid,2026-01-16T10:35:00.000Z,Q-1022
I-2020,2026-01-16T15:18:00.000Z,5400.00,sent,,Q-1023
I-2021,2026-01-17T09:42:00.000Z,690.00,paid,2026-01-20T09:00:00.000Z,Q-1024
I-2022,2026-01-18T12:25:00.000Z,1125.00,overdue,,Q-1025
I-2023,2026-01-19T08:10:00.000Z,275.00,paid,2026-01-27T14:00:00.000Z,Q-1026
I-2024,2026-01-19T17:05:00.000Z,60.00,paid,2026-01-19T17:05:00.000Z,Q-1027
I-2025,2026-01-20T10:00:00.000Z,8900.00,paid,2026-01-21T12:00:00.000Z,Q-1028
I-2026,2026-01-20T14:30:00.000Z,505.00,sent,,Q-1029
I-2027,2026-01-21T09:18:00.000Z,340.00,paid,2026-01-28T10:00:00.000Z,Q-1033
I-2028,2026-01-21T15:50:00.000Z,735.00,sent,,Q-1031
I-2029,2026-01-22T11:12:00.000Z,1980.00,paid,2026-02-10T16:00:00.000Z,Q-1032
I-2030,2026-01-23T08:40:00.000Z,6100.00,paid,2026-01-24T09:00:00.000Z,Q-1034
I-2031,2026-01-23T16:25:00.000Z,230.00,paid,2026-01-30T10:00:00.000Z,Q-1035
I-2032,2026-01-24T12:05:00.000Z,780.00,sent,,Q-1036
I-2033,2026-01-25T09:55:00.000Z,4200.00,paid,2026-03-05T11:00:00.000Z,Q-1037
I-2034,2026-01-25T14:10:00.000Z,520.00,overdue,,Q-1038
I-2035,2026-01-26T10:22:00.000Z,210.00,paid,2026-01-26T18:00:00.000Z,Q-1014
I-2036,2026-01-27T11:45:00.000Z,740.00,void,,Q-1004
I-2037,2026-01-28T08:05:00.000Z,2600.00,sent,,Q-1008
I-2038,2026-01-29T09:30:00.000Z,1450.00,paid,2026-02-18T12:00:00.000Z,Q-1006
I-2039,2026-01-30T13:15:00.000Z,3150.00,sent,,Q-1018
I-2040,2026-01-31T10:40:00.000Z,980.00,paid,2026-02-02T16:00:00.000Z,Q-1013
I-2041,2026-02-01T09:10:00.000Z,585.00,paid,2026-02-15T12:00:00.000Z,Q-1019
I-2042,2026-02-02T14:05:00.000Z,2300.00,overdue,,Q-1020
I-2043,2026-02-03T11:22:00.000Z,5400.00,paid,2026-03-10T09:00:00.000Z,Q-1023
I-2044,2026-02-04T16:30:00.000Z,6100.00,sent,,Q-1034
I-2045,2026-02-05T10:12:00.000Z,275.00,paid,2026-02-05T10:12:00.000Z,Q-1026
I-2046,2026-02-06T09:55:00.000Z,4200.00,sent,,Q-1037
I-2047,2026-02-07T13:40:00.000Z,8900.00,paid,2026-02-07T13:40:00.000Z,Q-1028
I-2048,2026-02-08T08:18:00.000Z,505.00,sent,,Q-1029

