Quote ID,Created At,Total,Status,Approved At
Q-1001,2026-01-02T10:12:00.000Z,185.00,sent,
Q-1002,2026-01-03T14:35:00.000Z,325.00,approved,2026-01-04T09:10:00.000Z
Q-1003,2026-01-04T16:05:00.000Z,610.00,sent,
Q-1004,2026-01-05T11:20:00.000Z,740.00,rejected,
Q-1005,2026-01-05T15:48:00.000Z,820.00,approved,2026-01-07T13:00:00.000Z
Q-1006,2026-01-06T09:30:00.000Z,1450.00,sent,
Q-1007,2026-01-06T18:22:00.000Z,240.00,draft,
Q-1008,2026-01-07T08:10:00.000Z,2600.00,approved,2026-01-15T12:00:00.000Z
Q-1009,2026-01-07T17:40:00.000Z,480.00,sent,
Q-1010,2026-01-08T10:05:00.000Z,95.00,sent,
Q-1011,2026-01-08T13:55:00.000Z,7200.00,approved,2026-01-09T16:30:00.000Z
Q-1012,2026-01-09T09:18:00.000Z,510.00,approved,2026-01-12T10:00:00.000Z
Q-1013,2026-01-09T15:02:00.000Z,980.00,sent,
Q-1014,2026-01-10T11:44:00.000Z,210.00,rejected,
Q-1015,2026-01-10T16:27:00.000Z,670.00,sent,
Q-1016,2026-01-11T09:10:00.000Z,1250.00,approved,2026-01-18T14:30:00.000Z
Q-1017,2026-01-12T12:05:00.000Z,440.00,sent,
Q-1018,2026-01-12T16:55:00.000Z,3150.00,approved,2026-02-02T10:00:00.000Z
Q-1019,2026-01-13T08:22:00.000Z,585.00,draft,
Q-1020,2026-01-13T14:11:00.000Z,2300.00,sent,
Q-1021,2026-01-14T10:37:00.000Z,150.00,sent,
Q-1022,2026-01-14T15:49:00.000Z,760.00,approved,2026-01-14T18:00:00.000Z
Q-1023,2026-01-15T09:28:00.000Z,5400.00,sent,
Q-1024,2026-01-15T13:06:00.000Z,690.00,approved,2026-01-17T09:00:00.000Z
Q-1025,2026-01-16T08:44:00.000Z,1125.00,sent,
Q-1026,2026-01-16T14:20:00.000Z,275.00,approved,2026-01-20T11:00:00.000Z
Q-1027,2026-01-17T10:15:00.000Z,60.00,draft,
Q-1028,2026-01-18T12:42:00.000Z,8900.00,approved,2026-01-18T16:00:00.000Z
Q-1029,2026-01-19T09:05:00.000Z,505.00,sent,
Q-1030,2026-01-20T15:33:00.000Z,2450.00,rejected,
Q-1031,2026-01-21T11:50:00.000Z,735.00,sent,
Q-1032,2026-01-22T13:12:00.000Z,1980.00,approved,2026-01-29T10:00:00.000Z
Q-1033,2026-01-23T09:46:00.000Z,340.00,sent,
Q-1034,2026-01-24T14:08:00.000Z,6100.00,approved,2026-01-25T09:00:00.000Z
Q-1035,2026-01-25T10:26:00.000Z,230.00,sent,
Q-1036,2026-01-26T16:41:00.000Z,780.00,sent,
Q-1037,2026-01-27T09:19:00.000Z,4200.00,approved,2026-02-10T12:00:00.000Z
Q-1038,2026-01-28T13:57:00.000Z,520.00,sent,

