EstimateID,Status,CreatedAt,ApprovedAt,Total
EST_AGEN_0001,approved,2025-11-19T00:00:00Z,2025-12-11T00:00:00Z,2490.00
EST_AGEN_0002,approved,2026-01-25T00:00:00Z,2026-02-09T00:00:00Z,3694.62
EST_AGEN_0003,rejected,2025-12-11T00:00:00Z,,5537.99
EST_AGEN_0004,sent,2026-01-31T00:00:00Z,,3412.98
EST_AGEN_0005,approved,2026-01-04T00:00:00Z,2026-01-26T00:00:00Z,6013.39
EST_AGEN_0006,rejected,2025-11-24T00:00:00Z,,6003.34
EST_AGEN_0007,approved,2025-12-20T00:00:00Z,2026-01-07T00:00:00Z,2118.93
EST_AGEN_0008,rejected,2026-01-07T00:00:00Z,,3313.20
EST_AGEN_0009,rejected,2026-02-03T00:00:00Z,,5673.96
EST_AGEN_0010,rejected,2026-01-16T00:00:00Z,,3912.66
EST_AGEN_0011,approved,2025-12-04T00:00:00Z,2025-12-16T00:00:00Z,2960.96
EST_AGEN_0012,approved,2025-12-27T00:00:00Z,2026-01-07T00:00:00Z,5615.03
EST_AGEN_0013,approved,2025-11-26T00:00:00Z,2025-12-14T00:00:00Z,3422.25
EST_AGEN_0014,approved,2025-12-20T00:00:00Z,2025-12-27T00:00:00Z,2907.34
EST_AGEN_0015,approved,2025-11-18T00:00:00Z,2025-12-11T00:00:00Z,4747.07
EST_AGEN_0016,approved,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,4746.91
EST_AGEN_0017,rejected,2026-01-24T00:00:00Z,,3227.33
EST_AGEN_0018,sent,2025-11-16T00:00:00Z,,3809.85
EST_AGEN_0019,sent,2025-11-14T00:00:00Z,,2513.30
EST_AGEN_0020,approved,2026-01-18T00:00:00Z,2026-02-05T00:00:00Z,4448.95
EST_AGEN_0021,approved,2025-12-28T00:00:00Z,2026-01-17T00:00:00Z,4721.08
EST_AGEN_0022,rejected,2025-12-16T00:00:00Z,,5107.63
EST_AGEN_0023,approved,2025-11-21T00:00:00Z,2025-12-03T00:00:00Z,2419.92
EST_AGEN_0024,rejected,2026-02-01T00:00:00Z,,1803.39
EST_AGEN_0025,rejected,2025-12-24T00:00:00Z,,4745.37
EST_AGEN_0026,rejected,2025-12-01T00:00:00Z,,5239.27
EST_AGEN_0027,sent,2026-02-09T00:00:00Z,,4647.07
EST_AGEN_0028,approved,2025-12-23T00:00:00Z,2025-12-30T00:00:00Z,2318.44
EST_AGEN_0029,approved,2025-12-25T00:00:00Z,2025-12-31T00:00:00Z,4159.23
EST_AGEN_0030,rejected,2026-02-01T00:00:00Z,,1737.88
EST_AGEN_0031,rejected,2025-11-26T00:00:00Z,,1670.42
EST_AGEN_0032,rejected,2025-12-07T00:00:00Z,,2966.32
EST_AGEN_0033,rejected,2025-11-14T00:00:00Z,,2730.67
EST_AGEN_0034,approved,2025-12-08T00:00:00Z,2025-12-24T00:00:00Z,2234.84
EST_AGEN_0035,approved,2026-01-23T00:00:00Z,2026-02-08T00:00:00Z,2691.80
EST_AGEN_0036,rejected,2025-11-22T00:00:00Z,,3499.93
EST_AGEN_0037,rejected,2025-11-12T00:00:00Z,,2270.35
