InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_AGEN_0001,EST_AGEN_0001,overdue,2025-12-14T00:00:00Z,,2380.25
INV_AGEN_0002,EST_AGEN_0002,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,3869.01
INV_AGEN_0003,EST_AGEN_0005,paid,2026-02-02T00:00:00Z,2026-02-09T00:00:00Z,5776.63
INV_AGEN_0004,EST_AGEN_0007,paid,2026-01-11T00:00:00Z,2026-01-29T00:00:00Z,2187.80
INV_AGEN_0005,EST_AGEN_0011,paid,2025-12-19T00:00:00Z,2026-01-14T00:00:00Z,2725.83
INV_AGEN_0006,EST_AGEN_0012,paid,2026-01-13T00:00:00Z,2026-02-08T00:00:00Z,5863.91
INV_AGEN_0007,EST_AGEN_0013,overdue,2025-12-16T00:00:00Z,,3197.21
INV_AGEN_0008,EST_AGEN_0014,paid,2026-01-03T00:00:00Z,2026-01-28T00:00:00Z,2965.78
INV_AGEN_0009,EST_AGEN_0015,overdue,2025-12-18T00:00:00Z,,4984.45
INV_AGEN_0010,EST_AGEN_0016,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,4403.62
INV_AGEN_0011,EST_AGEN_0020,overdue,2026-02-07T00:00:00Z,,4161.51
INV_AGEN_0012,EST_AGEN_0021,overdue,2026-01-19T00:00:00Z,,4359.72
INV_AGEN_0013,EST_AGEN_0023,paid,2025-12-08T00:00:00Z,2025-12-22T00:00:00Z,2363.23
INV_AGEN_0014,EST_AGEN_0028,overdue,2026-01-04T00:00:00Z,,2257.43
INV_AGEN_0015,EST_AGEN_0029,paid,2026-01-01T00:00:00Z,2026-01-26T00:00:00Z,4225.13
INV_AGEN_0016,EST_AGEN_0034,open,2025-12-31T00:00:00Z,,2359.78
INV_AGEN_0017,EST_AGEN_0035,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,2678.70
