JobID,QuoteID,Status,StartDate,StartTime,EndDate,EndTime,Total
JOB_ECOM_0001,EST_ECOM_0001,completed,2026-01-07,09:00,2026-01-08,10:00,1303.50
JOB_ECOM_0002,EST_ECOM_0002,completed,2026-01-30,07:00,2026-01-30,08:00,1188.57
JOB_ECOM_0003,EST_ECOM_0003,completed,2026-01-09,08:00,2026-01-09,12:00,1315.46
JOB_ECOM_0004,EST_ECOM_0004,scheduled,2025-12-02,14:00,2025-12-03,18:00,1515.43
JOB_ECOM_0005,EST_ECOM_0005,completed,2026-01-31,13:00,2026-01-31,17:00,331.86
JOB_ECOM_0006,EST_ECOM_0012,completed,2025-12-24,07:00,2025-12-24,08:00,593.54
JOB_ECOM_0007,EST_ECOM_0013,in_progress,2026-01-04,10:00,2026-01-04,11:00,1154.53
JOB_ECOM_0008,EST_ECOM_0014,completed,2026-01-13,16:00,2026-01-13,20:00,901.60
JOB_ECOM_0009,EST_ECOM_0018,completed,2026-01-21,11:00,2026-01-21,12:00,1054.74
JOB_ECOM_0010,EST_ECOM_0019,completed,2026-01-02,09:00,2026-01-02,12:00,560.53
JOB_ECOM_0011,EST_ECOM_0020,in_progress,2026-01-01,12:00,2026-01-01,15:00,629.03
JOB_ECOM_0012,EST_ECOM_0021,completed,2025-12-01,08:00,2025-12-01,10:00,1166.93
JOB_ECOM_0013,EST_ECOM_0024,completed,2025-12-15,14:00,2025-12-15,15:00,882.09
JOB_ECOM_0014,EST_ECOM_0025,scheduled,2026-02-08,08:00,2026-02-08,12:00,1096.97
JOB_ECOM_0015,EST_ECOM_0026,completed,2025-12-09,07:00,2025-12-09,09:00,237.71
JOB_ECOM_0016,EST_ECOM_0028,completed,2025-11-18,11:00,2025-11-18,12:00,1157.74
JOB_ECOM_0017,EST_ECOM_0029,completed,2025-12-29,11:00,2025-12-29,12:00,1116.50
JOB_ECOM_0018,EST_ECOM_0031,completed,2025-12-24,10:00,2025-12-24,11:00,663.21
JOB_ECOM_0019,EST_ECOM_0033,completed,2025-11-26,07:00,2025-11-26,10:00,981.33
JOB_ECOM_0020,EST_ECOM_0034,completed,2025-12-06,11:00,2025-12-06,12:00,596.57
JOB_ECOM_0021,EST_ECOM_0037,completed,2026-01-02,16:00,2026-01-02,18:00,795.47
JOB_ECOM_0022,EST_ECOM_0038,completed,2026-02-02,16:00,2026-02-02,17:00,827.66
JOB_ECOM_0023,EST_ECOM_0039,completed,2026-01-14,14:00,2026-01-14,18:00,1022.23
JOB_ECOM_0024,EST_ECOM_0041,completed,2025-12-17,14:00,2025-12-17,17:00,473.57
JOB_ECOM_0025,EST_ECOM_0042,scheduled,2026-01-06,13:00,2026-01-06,15:00,563.20
JOB_ECOM_0026,EST_ECOM_0043,completed,2026-01-14,09:00,2026-01-14,13:00,743.40
JOB_ECOM_0027,EST_ECOM_0046,scheduled,2025-12-31,09:00,2026-01-01,13:00,206.57
JOB_ECOM_0028,EST_ECOM_0047,scheduled,2026-01-04,13:00,2026-01-04,15:00,848.76
JOB_ECOM_0029,EST_ECOM_0049,completed,2026-01-02,15:00,2026-01-02,16:00,891.64
