EstimateID,Status,CreatedAt,ApprovedAt,Total
EST_ECOM_0001,approved,2025-12-10T00:00:00Z,2025-12-16T00:00:00Z,1254.00
EST_ECOM_0002,sent,2025-11-06T00:00:00Z,,182.78
EST_ECOM_0003,sent,2025-12-19T00:00:00Z,,1545.60
EST_ECOM_0004,sent,2025-12-19T00:00:00Z,,217.24
EST_ECOM_0005,approved,2026-01-09T00:00:00Z,2026-01-17T00:00:00Z,327.79
EST_ECOM_0006,approved,2025-12-11T00:00:00Z,2025-12-21T00:00:00Z,1191.19
EST_ECOM_0007,approved,2025-12-07T00:00:00Z,2025-12-10T00:00:00Z,623.04
EST_ECOM_0008,approved,2025-12-15T00:00:00Z,2025-12-24T00:00:00Z,867.84
EST_ECOM_0009,sent,2025-12-18T00:00:00Z,,831.41
EST_ECOM_0010,rejected,2026-01-11T00:00:00Z,,1033.25
EST_ECOM_0011,approved,2026-01-01T00:00:00Z,2026-01-09T00:00:00Z,501.84
EST_ECOM_0012,approved,2026-01-26T00:00:00Z,2026-01-27T00:00:00Z,473.79
EST_ECOM_0013,approved,2026-01-16T00:00:00Z,2026-01-26T00:00:00Z,1249.42
EST_ECOM_0014,rejected,2026-01-01T00:00:00Z,,1258.69
EST_ECOM_0015,rejected,2025-12-10T00:00:00Z,,747.19
EST_ECOM_0016,rejected,2025-12-30T00:00:00Z,,997.17
EST_ECOM_0017,approved,2025-12-07T00:00:00Z,2025-12-15T00:00:00Z,1014.42
EST_ECOM_0018,approved,2025-11-19T00:00:00Z,2025-11-26T00:00:00Z,328.12
EST_ECOM_0019,approved,2026-01-24T00:00:00Z,2026-01-29T00:00:00Z,589.06
EST_ECOM_0020,approved,2026-01-07T00:00:00Z,2026-01-14T00:00:00Z,352.92
EST_ECOM_0021,approved,2025-11-29T00:00:00Z,2025-12-04T00:00:00Z,1180.96
EST_ECOM_0022,approved,2026-01-22T00:00:00Z,2026-01-24T00:00:00Z,1315.75
EST_ECOM_0023,approved,2025-11-28T00:00:00Z,2025-11-30T00:00:00Z,489.91
EST_ECOM_0024,approved,2025-11-18T00:00:00Z,2025-11-20T00:00:00Z,1116.74
EST_ECOM_0025,rejected,2025-12-07T00:00:00Z,,1102.31
EST_ECOM_0026,sent,2025-12-16T00:00:00Z,,695.75
EST_ECOM_0027,approved,2026-01-29T00:00:00Z,2026-02-01T00:00:00Z,1054.21
EST_ECOM_0028,sent,2025-12-13T00:00:00Z,,749.50
EST_ECOM_0029,approved,2025-11-14T00:00:00Z,2025-11-20T00:00:00Z,1183.34
EST_ECOM_0030,approved,2025-11-07T00:00:00Z,2025-11-13T00:00:00Z,181.60
EST_ECOM_0031,sent,2025-12-09T00:00:00Z,,1104.84
EST_ECOM_0032,rejected,2025-11-10T00:00:00Z,,214.27
EST_ECOM_0033,approved,2026-01-09T00:00:00Z,2026-01-17T00:00:00Z,1077.25
EST_ECOM_0034,sent,2025-12-30T00:00:00Z,,749.44
EST_ECOM_0035,rejected,2025-12-02T00:00:00Z,,566.27
EST_ECOM_0036,approved,2025-11-24T00:00:00Z,2025-11-30T00:00:00Z,637.31
EST_ECOM_0037,approved,2026-01-19T00:00:00Z,2026-01-23T00:00:00Z,924.29
EST_ECOM_0038,approved,2025-12-18T00:00:00Z,2025-12-24T00:00:00Z,733.55
EST_ECOM_0039,rejected,2025-11-19T00:00:00Z,,414.30
EST_ECOM_0040,approved,2026-01-01T00:00:00Z,2026-01-07T00:00:00Z,288.11
EST_ECOM_0041,approved,2025-11-06T00:00:00Z,2025-11-15T00:00:00Z,915.56
EST_ECOM_0042,rejected,2026-01-06T00:00:00Z,,986.19
EST_ECOM_0043,approved,2025-11-16T00:00:00Z,2025-11-20T00:00:00Z,172.37
EST_ECOM_0044,approved,2026-01-17T00:00:00Z,2026-01-26T00:00:00Z,465.16
EST_ECOM_0045,approved,2026-01-03T00:00:00Z,2026-01-08T00:00:00Z,720.46
EST_ECOM_0046,approved,2025-11-05T00:00:00Z,2025-11-15T00:00:00Z,743.85
EST_ECOM_0047,sent,2025-12-14T00:00:00Z,,458.82
EST_ECOM_0048,rejected,2025-11-05T00:00:00Z,,114.51
EST_ECOM_0049,sent,2025-11-26T00:00:00Z,,491.00
EST_ECOM_0050,sent,2025-12-04T00:00:00Z,,549.45
EST_ECOM_0051,approved,2025-11-26T00:00:00Z,2025-12-03T00:00:00Z,752.80
