InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_ECOM_0001,EST_ECOM_0001,paid,2025-12-19T00:00:00Z,2026-01-03T00:00:00Z,1188.71
INV_ECOM_0002,EST_ECOM_0005,overdue,2026-01-17T00:00:00Z,,341.32
INV_ECOM_0003,EST_ECOM_0006,paid,2025-12-24T00:00:00Z,2026-01-03T00:00:00Z,1202.27
INV_ECOM_0004,EST_ECOM_0007,paid,2025-12-11T00:00:00Z,2025-12-13T00:00:00Z,600.93
INV_ECOM_0005,EST_ECOM_0008,paid,2025-12-27T00:00:00Z,2026-01-07T00:00:00Z,808.38
INV_ECOM_0006,EST_ECOM_0011,open,2026-01-09T00:00:00Z,,508.43
INV_ECOM_0007,EST_ECOM_0012,paid,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,495.04
INV_ECOM_0008,EST_ECOM_0013,open,2026-01-27T00:00:00Z,,1268.79
INV_ECOM_0009,EST_ECOM_0017,paid,2025-12-16T00:00:00Z,2025-12-26T00:00:00Z,1015.62
INV_ECOM_0010,EST_ECOM_0018,paid,2025-11-27T00:00:00Z,2025-12-05T00:00:00Z,314.47
INV_ECOM_0011,EST_ECOM_0019,paid,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,550.04
INV_ECOM_0012,EST_ECOM_0020,paid,2026-01-14T00:00:00Z,2026-01-20T00:00:00Z,366.76
INV_ECOM_0013,EST_ECOM_0021,paid,2025-12-04T00:00:00Z,2025-12-07T00:00:00Z,1228.52
INV_ECOM_0014,EST_ECOM_0022,paid,2026-01-24T00:00:00Z,2026-01-28T00:00:00Z,1220.98
INV_ECOM_0015,EST_ECOM_0023,paid,2025-12-01T00:00:00Z,2025-12-04T00:00:00Z,461.80
INV_ECOM_0016,EST_ECOM_0024,open,2025-11-23T00:00:00Z,,1109.37
INV_ECOM_0017,EST_ECOM_0027,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,1104.44
INV_ECOM_0018,EST_ECOM_0029,paid,2025-11-21T00:00:00Z,2025-12-01T00:00:00Z,1193.82
INV_ECOM_0019,EST_ECOM_0030,paid,2025-11-13T00:00:00Z,2025-11-23T00:00:00Z,178.01
INV_ECOM_0020,EST_ECOM_0033,paid,2026-01-19T00:00:00Z,2026-01-24T00:00:00Z,1067.73
INV_ECOM_0021,EST_ECOM_0036,paid,2025-12-03T00:00:00Z,2025-12-10T00:00:00Z,636.48
INV_ECOM_0022,EST_ECOM_0037,paid,2026-01-25T00:00:00Z,2026-01-27T00:00:00Z,908.30
INV_ECOM_0023,EST_ECOM_0038,paid,2025-12-24T00:00:00Z,2026-01-02T00:00:00Z,729.10
INV_ECOM_0024,EST_ECOM_0040,paid,2026-01-08T00:00:00Z,2026-01-15T00:00:00Z,268.93
INV_ECOM_0025,EST_ECOM_0041,paid,2025-11-17T00:00:00Z,2025-11-22T00:00:00Z,944.97
INV_ECOM_0026,EST_ECOM_0043,paid,2025-11-23T00:00:00Z,2025-11-30T00:00:00Z,176.43
INV_ECOM_0027,EST_ECOM_0044,paid,2026-01-28T00:00:00Z,2026-02-01T00:00:00Z,485.31
INV_ECOM_0028,EST_ECOM_0045,paid,2026-01-09T00:00:00Z,2026-01-12T00:00:00Z,697.20
INV_ECOM_0029,EST_ECOM_0046,open,2025-11-18T00:00:00Z,,780.89
INV_ECOM_0030,EST_ECOM_0051,overdue,2025-12-04T00:00:00Z,,773.94
