JobID,QuoteID,Status,StartDate,StartTime,EndDate,EndTime,Total
JOB_HOME_0001,EST_HOME_0003,completed,2025-12-27,16:00,2025-12-27,19:00,1731.14
JOB_HOME_0002,EST_HOME_0006,completed,2026-02-09,14:00,2026-02-09,18:00,1256.53
JOB_HOME_0003,EST_HOME_0007,completed,2026-01-06,12:00,2026-01-06,16:00,406.75
JOB_HOME_0004,EST_HOME_0008,completed,2025-12-29,16:00,2025-12-29,20:00,869.68
JOB_HOME_0005,EST_HOME_0009,completed,2025-12-15,07:00,2025-12-15,10:00,1940.91
JOB_HOME_0006,EST_HOME_0010,completed,2025-12-25,13:00,2025-12-25,15:00,2383.20
JOB_HOME_0007,EST_HOME_0016,in_progress,2026-01-09,15:00,2026-01-09,16:00,1597.25
JOB_HOME_0008,EST_HOME_0020,completed,2026-02-09,15:00,2026-02-09,17:00,1404.43
JOB_HOME_0009,EST_HOME_0023,completed,2025-12-29,07:00,2025-12-29,11:00,2153.52
JOB_HOME_0010,EST_HOME_0026,completed,2025-12-29,16:00,2025-12-29,17:00,728.83
JOB_HOME_0011,EST_HOME_0028,completed,2025-12-21,13:00,2025-12-22,15:00,2358.63
JOB_HOME_0012,EST_HOME_0034,completed,2025-12-22,13:00,2025-12-23,14:00,2295.00
JOB_HOME_0013,EST_HOME_0036,completed,2025-12-13,14:00,2025-12-13,16:00,1175.03
JOB_HOME_0014,EST_HOME_0037,completed,2025-12-31,10:00,2025-12-31,11:00,989.47
JOB_HOME_0015,EST_HOME_0038,scheduled,2025-12-03,16:00,2025-12-03,17:00,588.69
JOB_HOME_0016,EST_HOME_0039,scheduled,2025-12-29,10:00,2025-12-29,12:00,1196.67
JOB_HOME_0017,EST_HOME_0040,in_progress,2025-12-09,11:00,2025-12-09,14:00,475.14
JOB_HOME_0018,EST_HOME_0041,completed,2025-12-09,14:00,2025-12-09,18:00,1641.95
JOB_HOME_0019,EST_HOME_0043,completed,2025-12-19,09:00,2025-12-20,12:00,1498.02
JOB_HOME_0020,EST_HOME_0044,completed,2026-01-10,09:00,2026-01-10,13:00,1687.60
