EstimateID,Status,CreatedAt,ApprovedAt,Total
EST_HOME_0001,rejected,2025-12-02T00:00:00Z,,2007.60
EST_HOME_0002,rejected,2025-12-10T00:00:00Z,,2843.05
EST_HOME_0003,rejected,2025-12-31T00:00:00Z,,1279.91
EST_HOME_0004,approved,2025-12-11T00:00:00Z,2025-12-19T00:00:00Z,1063.43
EST_HOME_0005,approved,2025-12-14T00:00:00Z,2025-12-25T00:00:00Z,1768.19
EST_HOME_0006,approved,2025-12-06T00:00:00Z,2025-12-18T00:00:00Z,524.41
EST_HOME_0007,approved,2025-12-10T00:00:00Z,2025-12-25T00:00:00Z,2306.02
EST_HOME_0008,approved,2025-12-09T00:00:00Z,2025-12-22T00:00:00Z,658.88
EST_HOME_0009,approved,2025-12-25T00:00:00Z,2026-01-04T00:00:00Z,623.81
EST_HOME_0010,approved,2025-12-16T00:00:00Z,2025-12-27T00:00:00Z,2716.88
EST_HOME_0011,rejected,2026-02-01T00:00:00Z,,407.44
EST_HOME_0012,rejected,2026-01-10T00:00:00Z,,2478.79
EST_HOME_0013,sent,2026-01-28T00:00:00Z,,2180.18
EST_HOME_0014,approved,2025-12-20T00:00:00Z,2025-12-30T00:00:00Z,653.09
EST_HOME_0015,approved,2025-12-02T00:00:00Z,2025-12-17T00:00:00Z,1878.11
EST_HOME_0016,rejected,2026-01-01T00:00:00Z,,792.28
EST_HOME_0017,approved,2025-12-31T00:00:00Z,2026-01-08T00:00:00Z,2504.33
EST_HOME_0018,approved,2025-12-09T00:00:00Z,2025-12-13T00:00:00Z,2693.17
EST_HOME_0019,approved,2025-12-11T00:00:00Z,2025-12-22T00:00:00Z,2170.29
EST_HOME_0020,approved,2026-01-19T00:00:00Z,2026-01-26T00:00:00Z,1719.02
EST_HOME_0021,approved,2026-01-09T00:00:00Z,2026-01-19T00:00:00Z,1031.09
EST_HOME_0022,approved,2025-12-04T00:00:00Z,2025-12-14T00:00:00Z,2351.27
EST_HOME_0023,rejected,2025-11-24T00:00:00Z,,585.44
EST_HOME_0024,approved,2025-12-11T00:00:00Z,2025-12-20T00:00:00Z,1398.04
EST_HOME_0025,approved,2025-12-10T00:00:00Z,2025-12-16T00:00:00Z,1650.38
EST_HOME_0026,rejected,2025-12-22T00:00:00Z,,2289.23
EST_HOME_0027,approved,2025-12-13T00:00:00Z,2025-12-15T00:00:00Z,1436.11
EST_HOME_0028,approved,2025-12-24T00:00:00Z,2026-01-04T00:00:00Z,411.56
EST_HOME_0029,approved,2025-12-11T00:00:00Z,2025-12-26T00:00:00Z,723.79
EST_HOME_0030,rejected,2026-01-14T00:00:00Z,,1855.90
EST_HOME_0031,approved,2025-12-05T00:00:00Z,2025-12-11T00:00:00Z,1253.95
EST_HOME_0032,sent,2025-12-17T00:00:00Z,,807.30
EST_HOME_0033,approved,2025-12-09T00:00:00Z,2025-12-24T00:00:00Z,1910.90
EST_HOME_0034,approved,2025-12-21T00:00:00Z,2026-01-01T00:00:00Z,2431.44
EST_HOME_0035,approved,2025-12-02T00:00:00Z,2025-12-16T00:00:00Z,338.01
EST_HOME_0036,approved,2026-01-07T00:00:00Z,2026-01-13T00:00:00Z,1306.65
EST_HOME_0037,approved,2025-12-12T00:00:00Z,2025-12-28T00:00:00Z,2378.25
EST_HOME_0038,sent,2025-12-25T00:00:00Z,,636.96
EST_HOME_0039,rejected,2025-12-27T00:00:00Z,,738.20
EST_HOME_0040,approved,2025-12-14T00:00:00Z,2025-12-26T00:00:00Z,2272.12
EST_HOME_0041,approved,2025-12-30T00:00:00Z,2026-01-12T00:00:00Z,1106.91
EST_HOME_0042,approved,2025-12-31T00:00:00Z,2026-01-04T00:00:00Z,1989.77
EST_HOME_0043,approved,2025-12-08T00:00:00Z,2025-12-21T00:00:00Z,464.91
EST_HOME_0044,sent,2025-12-18T00:00:00Z,,640.49
EST_HOME_0045,rejected,2025-12-20T00:00:00Z,,381.21
EST_HOME_0046,rejected,2025-12-18T00:00:00Z,,855.38
EST_HOME_0047,approved,2025-11-26T00:00:00Z,2025-11-28T00:00:00Z,1978.13
EST_HOME_0048,approved,2025-12-07T00:00:00Z,2025-12-17T00:00:00Z,747.15
