EstimateID,Status,CreatedAt,ApprovedAt,Total
EST_LOGI_0001,rejected,2025-11-28T00:00:00Z,,2649.60
EST_LOGI_0002,rejected,2025-12-22T00:00:00Z,,2415.90
EST_LOGI_0003,rejected,2025-12-29T00:00:00Z,,2778.19
EST_LOGI_0004,approved,2025-12-16T00:00:00Z,2025-12-24T00:00:00Z,1086.24
EST_LOGI_0005,approved,2026-01-27T00:00:00Z,2026-02-02T00:00:00Z,4446.79
EST_LOGI_0006,approved,2025-11-16T00:00:00Z,2025-11-28T00:00:00Z,3301.69
EST_LOGI_0007,approved,2025-12-19T00:00:00Z,2025-12-27T00:00:00Z,1168.43
EST_LOGI_0008,approved,2026-01-24T00:00:00Z,2026-02-01T00:00:00Z,4281.77
EST_LOGI_0009,rejected,2025-12-02T00:00:00Z,,1196.17
EST_LOGI_0010,sent,2026-01-13T00:00:00Z,,838.30
EST_LOGI_0011,approved,2025-11-30T00:00:00Z,2025-12-02T00:00:00Z,3739.50
EST_LOGI_0012,approved,2026-01-06T00:00:00Z,2026-01-10T00:00:00Z,4482.95
EST_LOGI_0013,rejected,2026-01-28T00:00:00Z,,4031.20
EST_LOGI_0014,approved,2026-01-19T00:00:00Z,2026-01-24T00:00:00Z,2897.40
EST_LOGI_0015,sent,2026-01-20T00:00:00Z,,3562.23
EST_LOGI_0016,approved,2025-12-15T00:00:00Z,2025-12-26T00:00:00Z,1241.75
EST_LOGI_0017,sent,2026-01-17T00:00:00Z,,1060.14
EST_LOGI_0018,approved,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,4155.21
EST_LOGI_0019,rejected,2025-11-16T00:00:00Z,,2949.77
EST_LOGI_0020,approved,2025-11-13T00:00:00Z,2025-11-24T00:00:00Z,1182.29
EST_LOGI_0021,approved,2026-01-23T00:00:00Z,2026-01-27T00:00:00Z,1245.69
EST_LOGI_0022,sent,2025-12-30T00:00:00Z,,2104.45
EST_LOGI_0023,rejected,2025-12-18T00:00:00Z,,942.32
EST_LOGI_0024,sent,2025-12-16T00:00:00Z,,2013.43
EST_LOGI_0025,sent,2026-01-26T00:00:00Z,,3111.40
EST_LOGI_0026,approved,2026-01-11T00:00:00Z,2026-01-23T00:00:00Z,1390.13
EST_LOGI_0027,rejected,2026-01-25T00:00:00Z,,3119.30
EST_LOGI_0028,rejected,2025-12-19T00:00:00Z,,1686.98
EST_LOGI_0029,approved,2026-01-02T00:00:00Z,2026-01-05T00:00:00Z,2357.33
EST_LOGI_0030,sent,2025-12-31T00:00:00Z,,958.17
EST_LOGI_0031,sent,2025-12-12T00:00:00Z,,2644.74
EST_LOGI_0032,approved,2026-01-25T00:00:00Z,2026-02-04T00:00:00Z,1856.49
EST_LOGI_0033,approved,2025-11-25T00:00:00Z,2025-11-28T00:00:00Z,2705.86
EST_LOGI_0034,approved,2025-11-19T00:00:00Z,2025-11-26T00:00:00Z,2784.87
EST_LOGI_0035,rejected,2026-01-30T00:00:00Z,,1353.49
EST_LOGI_0036,rejected,2026-01-11T00:00:00Z,,2300.60
EST_LOGI_0037,rejected,2026-01-04T00:00:00Z,,3165.35
EST_LOGI_0038,sent,2026-02-09T00:00:00Z,,1494.77
EST_LOGI_0039,approved,2025-12-25T00:00:00Z,2025-12-29T00:00:00Z,3199.39
EST_LOGI_0040,approved,2025-12-06T00:00:00Z,2025-12-08T00:00:00Z,2784.47
EST_LOGI_0041,approved,2026-01-06T00:00:00Z,2026-01-13T00:00:00Z,949.62
EST_LOGI_0042,sent,2025-12-04T00:00:00Z,,1454.48
EST_LOGI_0043,approved,2026-01-09T00:00:00Z,2026-01-11T00:00:00Z,2780.37
EST_LOGI_0044,sent,2026-01-24T00:00:00Z,,2040.85
