InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_LOGI_0001,EST_LOGI_0004,paid,2025-12-29T00:00:00Z,2026-01-06T00:00:00Z,1110.75
INV_LOGI_0002,EST_LOGI_0005,open,2026-02-06T00:00:00Z,,4284.75
INV_LOGI_0003,EST_LOGI_0006,paid,2025-11-29T00:00:00Z,2025-12-06T00:00:00Z,3289.94
INV_LOGI_0004,EST_LOGI_0007,open,2025-12-31T00:00:00Z,,1237.16
INV_LOGI_0005,EST_LOGI_0008,paid,2026-02-06T00:00:00Z,2026-02-09T00:00:00Z,4334.09
INV_LOGI_0006,EST_LOGI_0011,paid,2025-12-05T00:00:00Z,2025-12-12T00:00:00Z,3629.55
INV_LOGI_0007,EST_LOGI_0012,paid,2026-01-10T00:00:00Z,2026-02-03T00:00:00Z,4537.51
INV_LOGI_0008,EST_LOGI_0014,open,2026-01-26T00:00:00Z,,2787.48
INV_LOGI_0009,EST_LOGI_0016,paid,2025-12-29T00:00:00Z,2026-01-05T00:00:00Z,1168.54
INV_LOGI_0010,EST_LOGI_0018,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,3958.22
INV_LOGI_0011,EST_LOGI_0020,paid,2025-11-29T00:00:00Z,2025-12-23T00:00:00Z,1142.61
INV_LOGI_0012,EST_LOGI_0021,paid,2026-01-30T00:00:00Z,2026-02-09T00:00:00Z,1319.79
INV_LOGI_0013,EST_LOGI_0026,paid,2026-01-28T00:00:00Z,2026-02-09T00:00:00Z,1333.04
INV_LOGI_0014,EST_LOGI_0029,open,2026-01-05T00:00:00Z,,2300.55
INV_LOGI_0015,EST_LOGI_0032,paid,2026-02-06T00:00:00Z,2026-02-09T00:00:00Z,1745.34
INV_LOGI_0016,EST_LOGI_0033,open,2025-11-29T00:00:00Z,,2569.46
INV_LOGI_0017,EST_LOGI_0034,overdue,2025-11-29T00:00:00Z,,2849.75
INV_LOGI_0018,EST_LOGI_0039,paid,2026-01-02T00:00:00Z,2026-01-16T00:00:00Z,3386.00
INV_LOGI_0019,EST_LOGI_0040,paid,2025-12-12T00:00:00Z,2026-01-03T00:00:00Z,2695.68
INV_LOGI_0020,EST_LOGI_0041,paid,2026-01-18T00:00:00Z,2026-01-26T00:00:00Z,946.30
INV_LOGI_0021,EST_LOGI_0043,paid,2026-01-12T00:00:00Z,2026-01-26T00:00:00Z,2773.34
