JobID,QuoteID,Status,StartDate,StartTime,EndDate,EndTime,Total
JOB_LOGI_0001,EST_LOGI_0005,completed,2026-02-06,08:00,2026-02-06,10:00,4446.79
JOB_LOGI_0002,EST_LOGI_0006,in_progress,2025-11-29,11:00,2025-11-29,14:00,3301.69
JOB_LOGI_0003,EST_LOGI_0007,completed,2025-12-31,08:00,2025-12-31,09:00,1168.43
JOB_LOGI_0004,EST_LOGI_0008,completed,2026-02-06,11:00,2026-02-06,12:00,4281.77
JOB_LOGI_0005,EST_LOGI_0011,scheduled,2025-12-05,11:00,2025-12-05,14:00,3739.50
JOB_LOGI_0006,EST_LOGI_0014,scheduled,2026-01-26,08:00,2026-01-26,12:00,2897.40
JOB_LOGI_0007,EST_LOGI_0016,scheduled,2025-12-29,14:00,2025-12-29,18:00,1241.75
JOB_LOGI_0008,EST_LOGI_0018,completed,2026-02-09,13:00,2026-02-09,14:00,4155.21
JOB_LOGI_0009,EST_LOGI_0021,completed,2026-01-30,11:00,2026-01-30,13:00,1245.69
JOB_LOGI_0010,EST_LOGI_0026,scheduled,2026-01-28,12:00,2026-01-28,15:00,1390.13
JOB_LOGI_0011,EST_LOGI_0029,completed,2026-01-05,07:00,2026-01-05,10:00,2357.33
JOB_LOGI_0012,EST_LOGI_0032,in_progress,2026-02-06,16:00,2026-02-06,18:00,1856.49
JOB_LOGI_0013,EST_LOGI_0033,completed,2025-11-29,12:00,2025-11-29,16:00,2705.86
JOB_LOGI_0014,EST_LOGI_0034,scheduled,2025-11-29,16:00,2025-11-29,18:00,2784.87
JOB_LOGI_0015,EST_LOGI_0039,completed,2026-01-02,11:00,2026-01-02,12:00,3199.39
JOB_LOGI_0016,EST_LOGI_0040,completed,2025-12-12,16:00,2025-12-12,19:00,2784.47
JOB_LOGI_0017,EST_LOGI_0041,completed,2026-01-18,07:00,2026-01-18,08:00,949.62
JOB_LOGI_0018,EST_LOGI_0043,completed,2026-01-12,16:00,2026-01-13,18:00,2780.37
