InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_PROF_0001,EST_PROF_0001,overdue,2026-01-28T00:00:00Z,,11957.91
INV_PROF_0002,EST_PROF_0003,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,7526.71
INV_PROF_0003,EST_PROF_0005,paid,2026-01-05T00:00:00Z,2026-01-25T00:00:00Z,11222.22
INV_PROF_0004,EST_PROF_0006,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,9639.25
INV_PROF_0005,EST_PROF_0007,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,3899.85
INV_PROF_0006,EST_PROF_0008,paid,2026-01-01T00:00:00Z,2026-01-17T00:00:00Z,7994.97
INV_PROF_0007,EST_PROF_0011,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,2450.97
INV_PROF_0008,EST_PROF_0014,paid,2026-01-10T00:00:00Z,2026-02-01T00:00:00Z,5437.14
INV_PROF_0009,EST_PROF_0016,paid,2026-01-06T00:00:00Z,2026-02-01T00:00:00Z,3949.67
INV_PROF_0010,EST_PROF_0017,overdue,2025-12-14T00:00:00Z,,5255.16
INV_PROF_0011,EST_PROF_0018,paid,2026-01-17T00:00:00Z,2026-02-06T00:00:00Z,7631.98
INV_PROF_0012,EST_PROF_0019,open,2025-12-08T00:00:00Z,,5432.38
INV_PROF_0013,EST_PROF_0023,open,2026-02-09T00:00:00Z,,9350.09
INV_PROF_0014,EST_PROF_0024,paid,2026-02-01T00:00:00Z,2026-02-09T00:00:00Z,4225.59
INV_PROF_0015,EST_PROF_0025,overdue,2026-02-09T00:00:00Z,,6950.66
INV_PROF_0016,EST_PROF_0028,overdue,2026-01-19T00:00:00Z,,4365.22
INV_PROF_0017,EST_PROF_0029,paid,2026-01-11T00:00:00Z,2026-02-08T00:00:00Z,4434.16
INV_PROF_0018,EST_PROF_0030,open,2026-01-16T00:00:00Z,,5015.59
INV_PROF_0019,EST_PROF_0032,paid,2026-01-24T00:00:00Z,2026-02-09T00:00:00Z,5569.27
INV_PROF_0020,EST_PROF_0033,open,2026-02-09T00:00:00Z,,5506.11
INV_PROF_0021,EST_PROF_0034,paid,2026-01-26T00:00:00Z,2026-02-09T00:00:00Z,2662.93
