EstimateID,Status,CreatedAt,ApprovedAt,Total
EST_PROF_0001,approved,2025-12-08T00:00:00Z,2025-12-23T00:00:00Z,8456.40
EST_PROF_0002,approved,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z,10936.31
EST_PROF_0003,approved,2025-11-06T00:00:00Z,2025-11-17T00:00:00Z,6236.11
EST_PROF_0004,approved,2025-12-18T00:00:00Z,2026-01-06T00:00:00Z,4240.10
EST_PROF_0005,approved,2025-11-22T00:00:00Z,2025-12-13T00:00:00Z,4986.84
EST_PROF_0006,approved,2026-01-18T00:00:00Z,2026-02-01T00:00:00Z,6575.02
EST_PROF_0007,rejected,2025-11-23T00:00:00Z,,3968.20
EST_PROF_0008,approved,2025-11-15T00:00:00Z,2025-12-09T00:00:00Z,7742.61
EST_PROF_0009,approved,2026-01-07T00:00:00Z,2026-02-01T00:00:00Z,9878.31
EST_PROF_0010,rejected,2026-01-04T00:00:00Z,,7776.18
EST_PROF_0011,rejected,2025-12-11T00:00:00Z,,5387.75
EST_PROF_0012,rejected,2026-01-31T00:00:00Z,,9283.76
EST_PROF_0013,rejected,2025-12-24T00:00:00Z,,4139.51
EST_PROF_0014,approved,2025-12-23T00:00:00Z,2026-01-15T00:00:00Z,8538.67
EST_PROF_0015,approved,2025-11-28T00:00:00Z,2025-12-18T00:00:00Z,7158.04
EST_PROF_0016,approved,2025-11-08T00:00:00Z,2025-12-04T00:00:00Z,8966.41
EST_PROF_0017,approved,2026-01-02T00:00:00Z,2026-01-08T00:00:00Z,7847.04
EST_PROF_0018,approved,2026-01-12T00:00:00Z,2026-01-28T00:00:00Z,5151.26
EST_PROF_0019,sent,2025-11-20T00:00:00Z,,6921.84
EST_PROF_0020,approved,2026-01-18T00:00:00Z,2026-02-01T00:00:00Z,2331.32
EST_PROF_0021,approved,2026-01-21T00:00:00Z,2026-02-01T00:00:00Z,3669.24
EST_PROF_0022,approved,2026-01-17T00:00:00Z,2026-02-01T00:00:00Z,3827.16
EST_PROF_0023,rejected,2025-11-19T00:00:00Z,,5322.49
EST_PROF_0024,rejected,2026-01-08T00:00:00Z,,2366.68
EST_PROF_0025,sent,2025-11-24T00:00:00Z,,5671.46
EST_PROF_0026,approved,2025-12-22T00:00:00Z,2026-01-12T00:00:00Z,3148.76
EST_PROF_0027,rejected,2026-01-03T00:00:00Z,,5406.62
EST_PROF_0028,sent,2025-11-24T00:00:00Z,,4624.74
EST_PROF_0029,rejected,2026-01-30T00:00:00Z,,8908.10
EST_PROF_0030,approved,2026-01-06T00:00:00Z,2026-01-29T00:00:00Z,3895.24
EST_PROF_0031,approved,2026-01-12T00:00:00Z,2026-02-01T00:00:00Z,8449.35
EST_PROF_0032,approved,2026-01-20T00:00:00Z,2026-02-01T00:00:00Z,3118.34
EST_PROF_0033,approved,2025-12-20T00:00:00Z,2025-12-26T00:00:00Z,3070.55
EST_PROF_0034,approved,2026-01-12T00:00:00Z,2026-01-21T00:00:00Z,2667.06
EST_PROF_0035,approved,2025-11-11T00:00:00Z,2025-11-21T00:00:00Z,5066.49
EST_PROF_0036,sent,2025-12-27T00:00:00Z,,5233.50
EST_PROF_0037,approved,2025-12-04T00:00:00Z,2026-01-01T00:00:00Z,4519.04
EST_PROF_0038,rejected,2025-12-15T00:00:00Z,,2768.45
