JobID,QuoteID,Status,StartDate,StartTime,EndDate,EndTime,Total
JOB_PROF_0001,EST_PROF_0001,in_progress,2025-12-29,15:00,2025-12-29,17:00,8456.40
JOB_PROF_0002,EST_PROF_0002,completed,2026-02-01,07:00,2026-02-01,11:00,10936.31
JOB_PROF_0003,EST_PROF_0003,scheduled,2025-11-20,16:00,2025-11-20,19:00,6236.11
JOB_PROF_0004,EST_PROF_0004,completed,2026-01-08,07:00,2026-01-08,10:00,4240.10
JOB_PROF_0005,EST_PROF_0006,scheduled,2026-02-01,09:00,2026-02-02,12:00,6575.02
JOB_PROF_0006,EST_PROF_0014,completed,2026-01-18,10:00,2026-01-18,13:00,8538.67
JOB_PROF_0007,EST_PROF_0016,scheduled,2025-12-07,10:00,2025-12-07,12:00,8966.41
JOB_PROF_0008,EST_PROF_0020,completed,2026-02-01,10:00,2026-02-01,11:00,2331.32
JOB_PROF_0009,EST_PROF_0021,completed,2026-02-01,08:00,2026-02-02,12:00,3669.24
JOB_PROF_0010,EST_PROF_0022,completed,2026-02-01,15:00,2026-02-01,18:00,3827.16
JOB_PROF_0011,EST_PROF_0030,completed,2026-02-01,10:00,2026-02-01,13:00,3895.24
JOB_PROF_0012,EST_PROF_0031,scheduled,2026-02-01,13:00,2026-02-01,14:00,8449.35
JOB_PROF_0013,EST_PROF_0034,completed,2026-01-25,07:00,2026-01-25,11:00,2667.06
JOB_PROF_0014,EST_PROF_0035,completed,2025-11-26,11:00,2025-11-26,15:00,5066.49
