EstimateID,Status,CreatedAt,ApprovedAt,Total
EST_SAAS_0001,sent,2026-01-26T00:00:00Z,,2508.00
EST_SAAS_0002,sent,2026-01-14T00:00:00Z,,3386.24
EST_SAAS_0003,approved,2025-11-15T00:00:00Z,2025-11-29T00:00:00Z,1867.34
EST_SAAS_0004,approved,2025-11-30T00:00:00Z,2025-12-02T00:00:00Z,2181.60
EST_SAAS_0005,rejected,2026-01-14T00:00:00Z,,1195.64
EST_SAAS_0006,approved,2026-01-06T00:00:00Z,2026-01-15T00:00:00Z,1764.00
EST_SAAS_0007,sent,2026-01-14T00:00:00Z,,1415.88
EST_SAAS_0008,approved,2025-11-29T00:00:00Z,2025-12-04T00:00:00Z,1089.36
EST_SAAS_0009,approved,2025-11-11T00:00:00Z,2025-11-26T00:00:00Z,1851.88
EST_SAAS_0010,approved,2025-11-29T00:00:00Z,2025-12-14T00:00:00Z,3237.96
EST_SAAS_0011,sent,2025-11-10T00:00:00Z,,1554.80
EST_SAAS_0012,approved,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,1966.08
EST_SAAS_0013,rejected,2026-01-08T00:00:00Z,,942.48
EST_SAAS_0014,approved,2025-11-28T00:00:00Z,2025-12-16T00:00:00Z,1841.40
EST_SAAS_0015,approved,2026-01-21T00:00:00Z,2026-02-01T00:00:00Z,2657.16
EST_SAAS_0016,rejected,2026-01-14T00:00:00Z,,2626.80
EST_SAAS_0017,approved,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z,2337.58
EST_SAAS_0018,approved,2026-01-20T00:00:00Z,2026-02-01T00:00:00Z,2455.72
EST_SAAS_0019,rejected,2026-01-11T00:00:00Z,,2593.50
EST_SAAS_0020,rejected,2025-11-26T00:00:00Z,,1544.48
EST_SAAS_0021,approved,2025-12-23T00:00:00Z,2026-01-09T00:00:00Z,2625.70
EST_SAAS_0022,rejected,2026-01-18T00:00:00Z,,2406.24
EST_SAAS_0023,approved,2026-01-23T00:00:00Z,2026-02-01T00:00:00Z,2043.68
EST_SAAS_0024,sent,2025-11-11T00:00:00Z,,1773.20
EST_SAAS_0025,sent,2026-01-08T00:00:00Z,,1809.48
EST_SAAS_0026,rejected,2026-01-12T00:00:00Z,,2506.00
EST_SAAS_0027,rejected,2025-12-09T00:00:00Z,,2580.34
EST_SAAS_0028,rejected,2025-11-24T00:00:00Z,,1342.08
EST_SAAS_0029,rejected,2025-12-21T00:00:00Z,,526.40
EST_SAAS_0030,approved,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z,578.68
EST_SAAS_0031,approved,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,2048.40
EST_SAAS_0032,approved,2025-11-16T00:00:00Z,2025-11-24T00:00:00Z,721.60
EST_SAAS_0033,approved,2025-11-09T00:00:00Z,2025-11-15T00:00:00Z,1090.48
EST_SAAS_0034,approved,2026-01-01T00:00:00Z,2026-01-08T00:00:00Z,955.92
EST_SAAS_0035,sent,2025-11-09T00:00:00Z,,1452.22
EST_SAAS_0036,approved,2026-01-18T00:00:00Z,2026-02-01T00:00:00Z,436.00
