InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_SAAS_0001,EST_SAAS_0003,paid,2025-11-29T00:00:00Z,2025-12-05T00:00:00Z,1798.16
INV_SAAS_0002,EST_SAAS_0004,paid,2025-12-04T00:00:00Z,2025-12-09T00:00:00Z,2186.91
INV_SAAS_0003,EST_SAAS_0006,paid,2026-01-19T00:00:00Z,2026-01-31T00:00:00Z,1711.28
INV_SAAS_0004,EST_SAAS_0008,paid,2025-12-06T00:00:00Z,2025-12-16T00:00:00Z,1086.62
INV_SAAS_0005,EST_SAAS_0009,paid,2025-11-27T00:00:00Z,2025-12-02T00:00:00Z,1778.78
INV_SAAS_0006,EST_SAAS_0010,overdue,2025-12-16T00:00:00Z,,3211.17
INV_SAAS_0007,EST_SAAS_0012,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,1829.99
INV_SAAS_0008,EST_SAAS_0014,paid,2025-12-18T00:00:00Z,2025-12-26T00:00:00Z,1947.60
INV_SAAS_0009,EST_SAAS_0015,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,2761.77
INV_SAAS_0010,EST_SAAS_0017,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,2363.36
INV_SAAS_0011,EST_SAAS_0018,overdue,2026-02-01T00:00:00Z,,2376.48
INV_SAAS_0012,EST_SAAS_0021,paid,2026-01-11T00:00:00Z,2026-01-21T00:00:00Z,2615.31
INV_SAAS_0013,EST_SAAS_0023,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,2154.97
INV_SAAS_0014,EST_SAAS_0030,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,560.85
INV_SAAS_0015,EST_SAAS_0031,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,1898.06
INV_SAAS_0016,EST_SAAS_0032,paid,2025-11-24T00:00:00Z,2025-12-17T00:00:00Z,698.79
INV_SAAS_0017,EST_SAAS_0033,paid,2025-11-19T00:00:00Z,2025-11-24T00:00:00Z,1061.95
INV_SAAS_0018,EST_SAAS_0034,paid,2026-01-09T00:00:00Z,2026-02-01T00:00:00Z,996.18
INV_SAAS_0019,EST_SAAS_0036,overdue,2026-02-01T00:00:00Z,,416.02
